LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,8,2025-08-10 18:30:22,4840,"FLUOROFENTANYL, ISOMER UNDETERMINED",3965,Fluorofentanyl,33,Fentanyl and Fentanyl-related,FL,Florida,12
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,8,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,NE,Nebraska,31
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,1,2025-08-10 18:30:22,1521,ACETYL-ALPHA-METHYLFENTANYL,1521,Acetyl-alpha-methylfentanyl,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,1,2025-08-10 18:30:22,4261,N-METHYL NORFENTANYL,4261,N-Methyl norfentanyl,33,Fentanyl and Fentanyl-related,TN,Tennessee,47
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,3,2025-08-10 18:30:22,4071,"METHOXYACETYL FENTANYL (2-METHOXY-N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE), SALT UNDETERMINED",4069,Methoxyacetyl fentanyl,33,Fentanyl and Fentanyl-related,NC,North Carolina,37
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,5,2025-08-10 18:30:22,1505,FENTANYL HYDROCHLORIDE,1504,Fentanyl,33,Fentanyl and Fentanyl-related,PA,Pennsylvania,42
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,10,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,DE,Delaware,10
"Local/Municipal,State,Federal,Private",DrugReport  ,2002,2002,2,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,AR,Arkansas,5
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,15,2025-08-10 18:30:22,4417,DESPROPIONYL FLUOROFENTANYL,4417,Fluoro 4-ANPP,33,Fentanyl and Fentanyl-related,MN,Minnesota,27
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,1,2025-08-10 18:30:22,1505,FENTANYL HYDROCHLORIDE,1504,Fentanyl,33,Fentanyl and Fentanyl-related,LA,Louisiana,22
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,2,2025-08-10 18:30:22,1505,FENTANYL HYDROCHLORIDE,1504,Fentanyl,33,Fentanyl and Fentanyl-related,IL,Illinois,17
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,2,2025-08-10 18:30:22,4261,N-METHYL NORFENTANYL,4261,N-Methyl norfentanyl,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,2002,2002,11,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,AL,Alabama,1
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,3,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,NJ,New Jersey,34
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,1,2025-08-10 18:30:22,4138,"THIOPHENE (THIOFURANYL FENTANYL; 2-THIOFURANYL FENTANYL; 2-THIOPHENOYL FENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLTHIOPHENE-2-CARBOXAMIDE), SALT UNDETERMINED",4136,Thiofuranyl fentanyl,33,Fentanyl and Fentanyl-related,NJ,New Jersey,34
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,3,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,1,2025-08-10 18:30:22,3838,"VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE), SALT UNDETERMINED",3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,TN,Tennessee,47
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,4,2025-08-10 18:30:22,1497,CARFENTANIL,1497,Carfentanil,33,Fentanyl and Fentanyl-related,MN,Minnesota,27
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,3,2025-08-10 18:30:22,1497,CARFENTANIL,1497,Carfentanil,33,Fentanyl and Fentanyl-related,UT,Utah,49
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,1,2025-08-10 18:30:22,4803,ORTHO-CHLOROFENTANYL,4803,ortho-Chlorofentanyl,33,Fentanyl and Fentanyl-related,VA,Virginia,51
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,4,2025-08-10 18:30:22,4392,"DESPROPIONYL P-FLUOROFENTANYL, SALT UNDETERMINED",4390,para-Fluoro 4-ANPP,33,Fentanyl and Fentanyl-related,TX,Texas,48
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,1,2025-08-10 18:30:22,3878,ORTHO-FLUOROFENTANYL (O-FLUOROFENTANYL; 2-FLUOROFENTANYL; N-(2-FLUOROPHENYL)-N-(1-PHENETHYLPIPERIDIN-4-YL)PROPIONAMIDE),3878,ortho-Fluorofentanyl,33,Fentanyl and Fentanyl-related,NC,North Carolina,37
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,2,2025-08-10 18:30:22,4395,"N-BENZYLFURANYLFENTANYL, SALT UNDETERMINED",4393,N-Benzyl furanyl fentanyl,33,Fentanyl and Fentanyl-related,PA,Pennsylvania,42
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,1,2025-08-10 18:30:22,3845,"4-FLUOROISOBUTYRYL FENTANYL (P-FLUOROISOBUTYRYL FENTANYL, PARA-FLUOROISOBUTYRYL FENTANYL; N-(4-FLUOROPHENYL)-N-(1-PHENETHYLPIPERIDIN-4-YL)ISOBUTYRAMIDE)",3845,para-Fluoroisobutyryl fentanyl,33,Fentanyl and Fentanyl-related,MD,Maryland,24
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,2,2025-08-10 18:30:22,3900,"ACRYL FENTANYL (ACRYLOYLFENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACRYLAMIDE), SALT UNDETERMINED",3853,Acryl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2003,2003,2,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WV,West Virginia,54
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,2,2025-08-10 18:30:22,3569,BUTYRYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLBUTANAMIDE) HYDROCHLORIDE,3498,Butyryl fentanyl,33,Fentanyl and Fentanyl-related,IN,Indiana,18
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,1,2025-08-10 18:30:22,4908,BENZYL ACRYLFENTANYL,4908,Benzylacryl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,1,2025-08-10 18:30:22,4417,DESPROPIONYL FLUOROFENTANYL,4417,Fluoro 4-ANPP,33,Fentanyl and Fentanyl-related,WA,Washington,53
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,1,2025-08-10 18:30:22,3753,P-FLUOROBUTYRYL FENTANYL (P-FBF),3753,para-Fluorobutyryl fentanyl,33,Fentanyl and Fentanyl-related,FL,Florida,12
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,1,2025-08-10 18:30:22,3838,"VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE), SALT UNDETERMINED",3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,MS,Mississippi,28
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,1,2025-08-10 18:30:22,4821,TERT-BUTYL 4-(4-FLUOROANILINO)PIPERIDINE-1-CARBOXYLATE,4821,1-Boc-4-(4-fluoroanilino)piperidine ,33,Fentanyl and Fentanyl-related,IN,Indiana,18
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,1,2025-08-10 18:30:22,3779,FURANYL FENTANYL (2-FURANYL FENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLFURAN-2-CARBOXAMIDE),3779,Furanyl fentanyl,33,Fentanyl and Fentanyl-related,NC,North Carolina,37
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,1,2025-08-10 18:30:22,5129,N-PHENYL-1-(1-PHENETHYL)PIPERIDINE,5129,N-Phenyl-1-(1-phenethyl)piperidine,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,5589,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,MA,Massachusetts,25
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,83,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,AR,Arkansas,5
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,1536,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,OR,Oregon,41
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,110,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WA,Washington,53
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,902,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,AL,Alabama,1
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,809,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,2336,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,OK,Oklahoma,40
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,283,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,CO,Colorado,8
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,494,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,AZ,Arizona,4
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,18,2025-08-10 18:30:22,3660,"ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE), SALT UNDETERMINED",3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,MA,Massachusetts,25
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,78,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,TN,Tennessee,47
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,72,2025-08-10 18:30:22,1021,4-ANILINO-1-PHENETHYLPIPERIDINE,1021,4-ANPP,33,Fentanyl and Fentanyl-related,DE,Delaware,10
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,88,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,WI,Wisconsin,55
"Local/Municipal,State,Federal,Private",DrugReport  ,2008,2008,15,2025-08-10 18:30:22,1495,SUFENTANIL,1495,Sufentanil,33,Fentanyl and Fentanyl-related,TX,Texas,48
"Local/Municipal,State,Federal,Private",DrugReport  ,2014,2014,42,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WV,West Virginia,54
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,157,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,NM,New Mexico,35
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,13,2025-08-10 18:30:22,3340,ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE),3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,VA,Virginia,51
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,25,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,IL,Illinois,17
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,74,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,PR,Puerto Rico,72
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,58,2025-08-10 18:30:22,4771,"P-FLUOROFENTANYL, SALT UNDETERMINED",1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,MT,Montana,30
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,15,2025-08-10 18:30:22,4771,"P-FLUOROFENTANYL, SALT UNDETERMINED",1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,OK,Oklahoma,40
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,3,2025-08-10 18:30:22,1523,BENZYLFENTANYL,1523,Benzylfentanyl,33,Fentanyl and Fentanyl-related,MN,Minnesota,27
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,8,2025-08-10 18:30:22,4390,DESPROPIONYL P-FLUOROFENTANYL,4390,para-Fluoro 4-ANPP,33,Fentanyl and Fentanyl-related,CA,California,6
"Local/Municipal,State,Federal,Private",DrugReport  ,1999,1999,2,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,NY,New York,36
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,63,2025-08-10 18:30:22,4989,PARA-FLUORO ACETYL FENTANYL,4989,para-Fluoro acetyl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,1,2025-08-10 18:30:22,3838,"VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE), SALT UNDETERMINED",3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,KY,Kentucky,21
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,4,2025-08-10 18:30:22,3498,BUTYRYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLBUTANAMIDE),3498,Butyryl fentanyl,33,Fentanyl and Fentanyl-related,SC,South Carolina,45
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,5,2025-08-10 18:30:22,1497,CARFENTANIL,1497,Carfentanil,33,Fentanyl and Fentanyl-related,NJ,New Jersey,34
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,3,2025-08-10 18:30:22,1505,FENTANYL HYDROCHLORIDE,1504,Fentanyl,33,Fentanyl and Fentanyl-related,MA,Massachusetts,25
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,2,2025-08-10 18:30:22,1497,CARFENTANIL,1497,Carfentanil,33,Fentanyl and Fentanyl-related,IL,Illinois,17
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,1,2025-08-10 18:30:22,3824,VALERYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLPENTANAMIDE),3824,Valeryl fentanyl,33,Fentanyl and Fentanyl-related,CT,Connecticut,9
"Local/Municipal,State,Federal,Private",DrugReport  ,2018,2018,4,2025-08-10 18:30:22,4061,"CYCLOPROPYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLCYCLOPROPANECARBOXAMIDE), SALT UNDETERMINED",4059,Cyclopropyl fentanyl,33,Fentanyl and Fentanyl-related,NY,New York,36
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,9,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,MI,Michigan,26
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,22,2025-08-10 18:30:22,3965,FLUOROFENTANYL,3965,Fluorofentanyl,33,Fentanyl and Fentanyl-related,AZ,Arizona,4
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,2,2025-08-10 18:30:22,1523,BENZYLFENTANYL,1523,Benzylfentanyl,33,Fentanyl and Fentanyl-related,LA,Louisiana,22
"Local/Municipal,State,Federal,Private",DrugReport  ,2022,2022,2,2025-08-10 18:30:22,4878,1-PHENETHYL-4-HYDROXYPIPERIDINE,4878,1-Phenethyl-4-hydroxypiperidine,33,Fentanyl and Fentanyl-related,NY,New York,36
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,7,2025-08-10 18:30:22,1504,FENTANYL,1504,Fentanyl,33,Fentanyl and Fentanyl-related,DC,District of Columbia,11
"Local/Municipal,State,Federal,Private",DrugReport  ,2020,2020,2,2025-08-10 18:30:22,4311,NORFENTANYL,4311,Norfentanyl,33,Fentanyl and Fentanyl-related,PA,Pennsylvania,42
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,5,2025-08-10 18:30:22,3660,"ACETYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLACETAMIDE), SALT UNDETERMINED",3340,Acetyl fentanyl,33,Fentanyl and Fentanyl-related,TX,Texas,48
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,1,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,WV,West Virginia,54
"Local/Municipal,State,Federal,Private",DrugReport  ,2021,2021,15,2025-08-10 18:30:22,3965,FLUOROFENTANYL,3965,Fluorofentanyl,33,Fentanyl and Fentanyl-related,IL,Illinois,17
"Local/Municipal,State,Federal,Private",DrugReport  ,2017,2017,16,2025-08-10 18:30:22,2408,FENTANYL SALT UNDETERMINED,1504,Fentanyl,33,Fentanyl and Fentanyl-related,WA,Washington,53
"Local/Municipal,State,Federal,Private",DrugReport  ,2024,2024,7,2025-08-10 18:30:22,4771,"P-FLUOROFENTANYL, SALT UNDETERMINED",1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,AR,Arkansas,5
"Local/Municipal,State,Federal,Private",DrugReport  ,2019,2019,3,2025-08-10 18:30:22,3779,FURANYL FENTANYL (2-FURANYL FENTANYL; N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLFURAN-2-CARBOXAMIDE),3779,Furanyl fentanyl,33,Fentanyl and Fentanyl-related,NC,North Carolina,37
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,7,2025-08-10 18:30:22,4686,PHENETHYL 4-ANPP,4686,Phenethyl 4-ANPP,33,Fentanyl and Fentanyl-related,LA,Louisiana,22
"Local/Municipal,State,Federal,Private",DrugReport  ,2015,2015,6,2025-08-10 18:30:22,3498,BUTYRYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLBUTANAMIDE),3498,Butyryl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2023,2023,1,2025-08-10 18:30:22,3498,BUTYRYL FENTANYL (N-(1-PHENETHYLPIPERIDIN-4-YL)-N-PHENYLBUTANAMIDE),3498,Butyryl fentanyl,33,Fentanyl and Fentanyl-related,OH,Ohio,39
"Local/Municipal,State,Federal,Private",DrugReport  ,2016,2016,1,2025-08-10 18:30:22,1517,P-FLUOROFENTANYL,1517,para-Fluorofentanyl,33,Fentanyl and Fentanyl-related,MA,Massachusetts,25
