Variable,Definition,Variable Values,,,,,,,,,,,
rate_alldrug,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal, all drug overdoses per 100,000 persons in that age-by-sex group.¶  ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
rate_opioid,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal, all opioid-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
rate_fentanyl,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal fentanyl-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]†,¶)",,,,,,,,,,,
rate_heroin,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal heroin-involved overdoses per 100,000 persons in that age-by-sex group.¶  ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
rate_stimulant,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal, all stimulant-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
rate_cocaine,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal cocaine-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
rate_methamphetamine,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal methamphetamine-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]†,¶)",,,,,,,,,,,
rate_benzo,"Annual or monthly rate of ED visits or inpatient hospitalizations for nonfatal benzodiazepine-involved overdoses per 100,000 persons in that age-by-sex group.¶ ","Character (rate value, suppressed,* or not available [NA]¶)",,,,,,,,,,,
"* Counts are suppressed when based on 1-9 overdoses and rates are suppressed when based on 1-19 overdoses to avoid sharing information that could be identifiable and because of possible instability of rate estimates. For more information, please see Healthy People 2010 Criteria for Data Suppression (https://www.cdc.gov/nchs/data/statnt/statnt24.pdf). ",,,,,,,,,,,,,
"†Fentanyl data are displayed beginning in October 2020, reflecting the introduction of the ICD-10-CM code for fentanyl-involved poisoning. Methamphetamine data are displayed beginning in October 2022, reflecting the introduction of the ICD-10-CM code for methamphetamine-involved poisoning. Counts and rates for these indicators are shown as not available (NA) for time periods prior to the introduction of these ICD-10-CM codes.",,,,,,,,,,,,,
§ Mid-year annual population denominators were obtained from the U.S. Census Bureau using the most recently updated data at the time of analysis (https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-detail.html).,,,,,,,,,,,,,
"¶ Rates are not available [NA] when the population denominator data are not available (i.e., for missing age or sex categories). ",,,,,,,,,,,,,
